"Date","Video Views","Profile Views","Likes","Comments","Shares"
"December 31","1833","2","0","0","2"
"January 1","1706","2","0","2","0"
"January 2","2196","0","0","1","0"
"January 3","2242","3","0","0","0"
"January 4","2162","2","5","0","0"
"January 5","1603","6","1","0","0"
"January 6","1731","10","3","2","1"
"January 7","1288","2","2","0","0"
"January 8","1654","6","2","0","0"
"January 9","1342","7","1","0","0"
"January 10","814","3","1","0","0"
"January 11","895","3","2","0","0"
"January 12","1378","8","4","0","0"
"January 13","3126","7","3","0","2"
"January 14","2931","5","1","1","1"
"January 15","4147","7","106","0","0"
"January 16","4492","7","140","0","1"
"January 17","5047","12","173","0","0"
"January 18","5004","4","155","2","0"
"January 19","4342","8","153","0","1"
"January 20","4790","10","142","-1","0"
"January 21","4441","4","149","0","0"
"January 22","3364","4","24","1","2"
"January 23","2756","0","3","0","0"
"January 24","2539","4","0","0","3"
"January 25","2664","4","7","0","0"
"January 26","1940","4","4","0","0"
"January 27","1896","2","1","0","0"
"January 28","2158","5","1","0","0"
"January 29","2305","2","7","0","0"
"January 30","2423","3","6","0","0"
"January 31","2823","7","14","0","0"
"February 1","3762","4","14","0","0"
"February 2","3143","5","15","0","0"
"February 3","3277","6","23","0","1"
"February 4","4235","5","34","2","1"
"February 5","5015","7","55","1","0"
"February 6","6372","9","69","0","1"
"February 7","6707","15","83","1","2"
"February 8","4076","6","40","1","0"
"February 9","6003","11","68","3","3"
"February 10","6993","10","61","2","1"
"February 11","5134","15","41","2","0"
"February 12","4187","6","26","0","1"
"February 13","4653","13","32","0","0"
"February 14","4726","6","47","1","0"
"February 15","3525","2","19","0","0"
"February 16","3058","6","34","0","0"
"February 17","2668","4","33","0","0"
"February 18","2924","2","23","0","1"
"February 19","2948","4","13","0","0"
"February 20","3520","8","28","0","0"
"February 21","4389","6","38","1","0"
"February 22","4186","6","19","0","0"
"February 23","4675","8","29","1","3"
"February 24","5655","14","49","2","1"
"February 25","3719","3","24","0","1"
"February 26","5708","6","39","0","3"
"February 27","6214","7","41","0","0"
"February 28","7141","7","64","1","2"
"March 1","6554","18","46","1","1"
"March 2","8472","11","73","1","2"
"March 3","4155","2","27","1","2"
"March 4","3980","3","23","0","0"
"March 5","3795","3","20","0","0"
"March 6","5475","9","22","3","1"
"March 7","5453","7","28","1","1"
"March 8","4182","2","17","0","2"
"March 9","4699","5","17","1","1"
"March 10","4223","6","16","0","1"
"March 11","3182","4","7","0","1"
"March 12","3599","2","27","1","0"
"March 13","4573","5","39","0","0"
"March 14","3675","4","18","0","0"
"March 15","4371","5","24","0","0"
"March 16","4786","8","35","0","3"
"March 17","4189","2","28","0","3"
"March 18","4018","6","31","0","2"
"March 19","980","5","6","0","0"
"March 20","1019","6","16","0","0"
"March 21","753","5","11","0","0"
"March 22","742","2","3","0","0"
"March 23","466","3","5","0","0"
"March 24","295","3","2","0","0"
"March 25","1827","1","1","0","0"
"March 26","2549","6","4","0","0"
"March 27","2480","2","3","0","0"
"March 28","2428","5","1","0","0"
"March 29","2529","5","1","0","0"
"March 30","3337","2","5","0","2"
"March 31","5413","5","33","0","1"
"April 1","3773","4","37","0","2"
"April 2","3554","8","24","-1","2"
"April 3","3199","6","18","0","0"
"April 4","2806","6","9","0","0"
"April 5","2504","3","14","0","0"
"April 6","2818","2","21","0","0"
"April 7","3357","4","23","0","0"
"April 8","4187","5","30","1","0"
"April 9","2790","3","12","0","0"
"April 10","2166","1","9","0","1"
"April 11","2253","3","9","0","2"
