"Date","Total Viewers","New Viewers","Returning Viewers"
"February 12","3932","2606","1326"
"February 13","2998","2294","704"
"February 14","3414","1823","1591"
"February 15","3629","1812","1817"
"February 16","2626","1477","1149"
"February 17","2195","1318","877"
"February 18","1866","937","929"
"February 19","1709","1079","630"
"February 20","1608","1122","486"
"February 21","2069","1380","689"
"February 22","2608","1852","756"
"February 23","2118","1597","521"
"February 24","2779","2019","760"
"February 25","3581","2381","1200"
"February 26","2282","1378","904"
"February 27","3756","2669","1087"
"February 28","4269","3264","1005"
"March 1","5052","4076","976"
"March 2","4558","3642","916"
"March 3","6408","5135","1273"
"March 4","2472","1823","649"
"March 5","2309","1735","574"
"March 6","2003","1496","507"
"March 7","3637","2852","785"
"March 8","3214","2478","736"
"March 9","2224","1687","537"
"March 10","2959","2326","633"
"March 11","2396","1886","510"
"March 12","1640","1250","390"
"March 13","2148","1593","555"
"March 14","3099","2257","842"
"March 15","2478","1671","807"
"March 16","2977","2056","921"
"March 17","3405","2271","1134"
"March 18","3063","1914","1149"
"March 19","2980","2038","942"
"March 20","850","383","467"
"March 21","916","331","585"
"March 22","659","225","434"
"March 23","654","210","444"
"March 24","397","152","245"
"March 25","245","74","171"
"March 26","728","518","210"
"March 27","847","590","257"
"March 28","1007","673","334"
"March 29","908","669","239"
"March 30","892","688","204"
"March 31","1879","1135","744"
"April 1","4215","2114","2101"
"April 2","2832","1527","1305"
"April 3","2276","1405","871"
"April 4","2084","1196","888"
"April 5","1695","996","699"
"April 6","1437","905","532"
"April 7","1784","1087","697"
"April 8","2281","1296","985"
"April 9","2924","1599","1325"
"April 10","1649","943","706"
"April 11","1279","799","480"
"April 12","undefined","0","0"
