Date,Video Views,Profile Views,Likes,Comments,Shares,Engagement_Rate,Total_Interactions
1900-01-01,1706,2,0,2,0,0.11723329425556857,2
1900-01-02,2196,0,0,1,0,0.04553734061930783,1
1900-01-03,2242,3,0,0,0,0.0,0
1900-01-04,2162,2,5,0,0,0.23126734505087881,5
1900-01-05,1603,6,1,0,0,0.06238303181534623,1
1900-01-06,1731,10,3,2,1,0.34662045060658575,6
1900-01-07,1288,2,2,0,0,0.15527950310559005,2
1900-01-08,1654,6,2,0,0,0.12091898428053204,2
1900-01-09,1342,7,1,0,0,0.07451564828614009,1
1900-01-10,814,3,1,0,0,0.12285012285012285,1
1900-01-11,895,3,2,0,0,0.22346368715083798,2
1900-01-12,1378,8,4,0,0,0.29027576197387517,4
1900-01-13,3126,7,3,0,2,0.1599488163787588,5
1900-01-14,2931,5,1,1,1,0.1023541453428864,3
1900-01-15,4147,7,106,0,0,2.556064625030142,106
1900-01-16,4492,7,140,0,1,3.138913624220837,141
1900-01-17,5047,12,173,0,0,3.4277788785417083,173
1900-01-18,5004,4,155,2,0,3.137490007993605,157
1900-01-19,4342,8,153,0,1,3.5467526485490555,154
1900-01-20,4790,10,142,0,0,2.964509394572025,142
1900-01-21,4441,4,149,0,0,3.355100202657059,149
1900-01-22,3364,4,24,1,2,0.8026159334126041,27
1900-01-23,2756,0,3,0,0,0.10885341074020319,3
1900-01-24,2539,4,0,0,3,0.11815675462780621,3
1900-01-25,2664,4,7,0,0,0.2627627627627628,7
1900-01-26,1940,4,4,0,0,0.2061855670103093,4
1900-01-27,1896,2,1,0,0,0.05274261603375527,1
1900-01-28,2158,5,1,0,0,0.04633920296570899,1
1900-01-29,2305,2,7,0,0,0.3036876355748373,7
1900-01-30,2423,3,6,0,0,0.24762690879075525,6
1900-01-31,2823,7,14,0,0,0.495926319518243,14
1900-02-01,3762,4,14,0,0,0.3721424774056353,14
1900-02-02,3143,5,15,0,0,0.47725103404390706,15
1900-02-03,3277,6,23,0,1,0.732377174244736,24
1900-02-04,4235,5,34,2,1,0.8736717827626919,37
1900-02-05,5015,7,55,1,0,1.1166500498504488,56
1900-02-06,6372,9,69,0,1,1.098556183301946,70
1900-02-07,6707,15,83,1,2,1.2822424332786642,86
1900-02-08,4076,6,40,1,0,1.0058881256133463,41
1900-02-09,6003,11,68,3,3,1.2327169748459104,74
1900-02-10,6993,10,61,2,1,0.9152009152009153,64
1900-02-11,5134,15,41,2,0,0.8375535644721466,43
1900-02-12,4187,6,26,0,1,0.6448531167900645,27
1900-02-13,4653,13,32,0,0,0.6877283473028154,32
1900-02-14,4726,6,47,1,0,1.0156580617858655,48
1900-02-15,3525,2,19,0,0,0.5390070921985816,19
